location,area_sqft,bedrooms,bathrooms,stories,age_years,garage,balcony,basement,nearby_school_score,crime_rate,property_type,price
Uptown,790,5,1,2,16,2,1,1,5.21,0.41,Townhouse,741913.99
Hillview,2669,5,3,3,7,0,1,0,8.29,1.46,Townhouse,1135746.69
Uptown,1450,3,1,3,21,0,1,0,8.21,0.3,Condo,823350.93
Riverside,2283,1,3,1,38,1,1,0,5.62,0.1,Apartment,822629.85
Riverside,2236,4,2,2,9,0,0,1,8.98,1.43,Villa,1034310.87
Hillview,2697,4,2,2,14,0,0,0,7.33,0.49,Apartment,1049491.89
Suburban,2403,1,3,1,17,2,0,1,6.62,0.62,Villa,1003805.44
Suburban,792,5,3,3,31,2,1,0,9.12,0.17,Villa,843971.4
Hillview,1668,2,1,2,39,1,1,1,6.72,0.64,Villa,799813.91
Hillview,2176,5,1,2,3,2,1,1,8.11,1.46,Apartment,1001996.37
Downtown,1993,3,1,2,19,1,1,0,8.09,1.06,Condo,899652.36
Old Town,2363,2,1,3,30,1,0,1,5.26,0.74,Villa,904200.57
Riverside,2534,1,3,1,0,1,1,0,7.11,0.5,Villa,945624.33
Old Town,2435,1,2,2,32,2,0,1,6.11,0.58,Condo,872771.89
Lakeview,1982,4,3,3,9,0,0,0,6.0,0.94,Villa,982420.04
Downtown,1085,2,1,3,20,1,0,1,8.27,0.42,Condo,722059.36
Lakeview,1849,5,3,2,39,0,0,0,5.06,0.27,Apartment,933390.7
Old Town,2329,2,3,1,25,2,1,1,9.85,1.06,Condo,936029.78
Uptown,1500,5,3,3,39,1,0,0,6.98,1.31,Condo,884728.82
Riverside,2447,5,2,3,24,0,0,0,6.49,1.36,Condo,969736.09
Riverside,2600,1,3,2,8,1,1,0,9.6,1.27,Condo,997312.61
Uptown,2170,4,2,2,27,1,1,1,7.43,0.82,Townhouse,964983.47
Hillview,415,5,2,2,24,0,0,0,8.07,1.19,Townhouse,641934.13
Suburban,1397,2,2,1,12,2,0,1,8.48,1.39,Condo,730490.89
Hillview,3137,1,1,1,3,1,1,1,9.36,0.08,Condo,1126525.88
Uptown,1799,5,3,3,25,0,1,0,5.65,0.65,Townhouse,975505.89
Riverside,1009,3,3,3,23,1,0,0,5.41,0.35,Townhouse,728743.33
Lakeview,2779,1,3,1,30,1,0,0,9.97,1.5,Apartment,1011333.31
Hillview,2107,5,3,2,5,1,0,0,5.04,1.4,Condo,961945.95
Riverside,2708,4,2,3,21,0,0,1,8.54,1.21,Condo,1047021.97
Downtown,2252,1,3,1,32,2,1,1,8.06,0.48,Apartment,924512.43
Hillview,2352,2,1,1,35,1,0,1,7.76,1.43,Villa,902667.18
Suburban,2300,1,2,1,37,1,1,1,8.93,0.09,Apartment,866776.32
Uptown,2484,5,1,1,8,2,0,1,9.96,0.32,Villa,1140926.08
Old Town,3353,1,1,2,6,1,1,1,5.23,0.94,Condo,972766.22
Old Town,2634,4,2,2,23,0,1,0,8.07,1.2,Villa,1051740.8
Suburban,1231,3,2,3,18,1,0,1,8.58,1.33,Villa,783147.88
Hillview,2346,3,3,3,9,1,1,1,6.53,0.49,Condo,1094926.28
Suburban,2728,5,2,3,4,0,1,0,9.46,0.62,Villa,1188809.09
Riverside,2761,5,2,3,5,0,1,1,7.28,0.71,Condo,1139253.58
Uptown,1865,1,2,3,13,0,0,1,5.82,0.09,Condo,840190.74
Lakeview,2741,1,2,2,29,2,0,0,9.27,1.3,Villa,1103209.93
Lakeview,2610,1,3,3,2,0,1,1,9.71,0.54,Townhouse,1143300.48
Lakeview,3515,4,1,1,4,1,0,1,5.5,0.34,Villa,1165644.63
Old Town,1687,3,2,3,10,2,1,1,8.76,0.64,Villa,952889.74
Suburban,1821,1,2,1,34,1,1,1,6.08,1.08,Condo,696497.63
Uptown,1932,2,1,2,39,0,0,1,5.03,1.31,Villa,728246.96
Uptown,1830,3,3,1,17,2,0,0,6.3,0.36,Apartment,908612.65
Lakeview,1610,4,2,2,1,1,1,0,9.27,0.3,Villa,1031223.03
Hillview,581,2,1,3,0,0,0,1,5.71,1.42,Townhouse,654651.11
Downtown,1861,5,2,1,34,1,0,0,5.65,0.85,Apartment,841215.59
Old Town,2303,5,3,2,17,0,1,1,8.7,0.58,Townhouse,1025142.34
Old Town,1829,4,3,1,3,1,0,1,7.03,0.34,Apartment,837886.76
Uptown,3164,3,1,1,33,0,0,0,5.74,1.49,Apartment,841175.68
Riverside,2107,5,2,2,21,2,0,1,6.15,1.09,Townhouse,953304.15
Riverside,2810,4,1,2,13,2,0,0,8.97,0.37,Apartment,1126941.32
Downtown,2244,3,2,1,18,2,0,0,8.12,0.18,Condo,924823.73
Uptown,2555,3,2,2,9,2,0,0,8.8,0.34,Apartment,1065251.98
Uptown,2254,5,2,3,37,0,1,0,5.49,0.41,Villa,1009855.74
Downtown,2853,3,3,2,31,0,0,1,7.29,0.21,Apartment,1067114.88
Old Town,2131,1,2,3,7,2,1,0,8.99,0.38,Villa,1039932.12
Old Town,2373,5,2,3,29,1,0,0,6.33,0.22,Condo,956659.73
Old Town,2301,1,1,2,7,1,1,0,5.85,0.6,Townhouse,795085.6
Lakeview,1941,4,1,2,18,2,0,0,6.91,0.75,Townhouse,971145.5
Suburban,2323,4,3,3,29,1,1,0,6.67,0.71,Apartment,1014666.67
Riverside,3329,3,2,2,1,2,0,1,5.93,1.25,Villa,1168135.49
Suburban,1951,1,3,2,29,2,1,1,9.77,0.42,Villa,1021657.07
Suburban,2331,3,2,1,9,0,1,0,7.42,1.34,Townhouse,820454.28
Lakeview,2792,5,2,1,27,2,0,0,8.04,1.37,Apartment,1082440.34
Lakeview,2727,2,2,1,19,0,1,0,5.61,1.44,Condo,887954.05
Downtown,2106,4,2,2,1,0,0,0,8.05,0.31,Townhouse,985643.6
Hillview,789,5,1,3,30,2,0,1,7.78,0.41,Villa,796541.2
Suburban,2384,5,1,1,10,2,0,0,9.66,0.95,Apartment,956802.42
Suburban,879,3,2,1,38,0,1,0,7.06,0.25,Townhouse,613239.92
Riverside,2908,2,2,1,33,1,1,1,8.91,0.17,Villa,1070656.74
Suburban,2193,4,2,2,7,1,1,0,6.52,0.16,Townhouse,994722.44
Old Town,2650,3,2,1,24,1,1,1,7.89,0.93,Townhouse,984345.13
Lakeview,1604,4,1,1,14,2,1,1,9.63,1.22,Townhouse,871755.91
Hillview,1246,4,3,1,24,0,1,1,8.13,0.43,Condo,821479.82
Uptown,2243,4,2,1,22,2,1,0,8.56,1.4,Townhouse,940723.43
Old Town,2082,2,1,1,11,0,0,1,9.38,1.2,Townhouse,790510.39
Downtown,1830,4,2,3,26,0,1,1,9.63,0.16,Villa,1052803.21
Downtown,2147,3,3,3,10,1,0,1,6.04,0.64,Condo,975777.93
Suburban,3622,5,3,2,36,0,0,0,5.98,0.15,Villa,1244033.15
Suburban,2559,4,1,1,37,1,1,1,7.75,1.38,Townhouse,895386.11
Uptown,2677,5,3,1,6,1,0,1,9.98,1.13,Condo,1107542.56
Uptown,2564,5,2,1,29,1,0,1,7.45,1.05,Villa,1060386.27
Uptown,2914,5,2,2,37,0,1,1,6.65,1.04,Apartment,1035620.68
Hillview,1995,4,2,2,5,2,1,0,7.69,0.46,Apartment,972329.11
Old Town,970,3,3,1,29,0,0,1,5.32,1.4,Apartment,569228.9
Hillview,1996,1,1,2,37,0,0,1,5.89,1.39,Apartment,727793.93
Riverside,2546,2,1,1,9,1,0,1,5.74,1.12,Townhouse,825127.01
Hillview,1567,3,2,2,23,2,0,0,5.14,0.73,Villa,873451.03
Uptown,2003,4,1,3,31,1,0,1,8.61,0.12,Apartment,972574.97
Uptown,1720,3,3,1,13,2,1,1,6.63,0.09,Apartment,860924.67
Hillview,2926,3,3,2,9,2,0,1,5.84,0.25,Villa,1134997.12
Downtown,2512,1,2,2,15,2,1,0,7.56,0.91,Villa,1034545.36
Uptown,2458,4,3,3,13,0,0,1,6.62,1.21,Condo,1024342.05
Riverside,2442,3,1,2,29,2,1,0,6.97,1.43,Townhouse,893863.88
Uptown,2080,1,2,2,14,0,1,1,6.58,0.3,Townhouse,899185.07
Old Town,2209,2,2,3,15,2,0,0,5.02,0.45,Townhouse,935164.79
Lakeview,1448,5,1,2,37,2,1,0,8.44,0.13,Condo,877162.43
Riverside,897,1,1,2,23,0,0,1,5.55,1.48,Villa,576476.02
Lakeview,2183,3,2,1,37,0,1,1,6.1,1.18,Apartment,879712.32
Uptown,2278,3,2,2,28,2,1,1,5.95,0.75,Townhouse,1013106.58
Riverside,2765,1,1,1,35,0,1,0,6.66,0.88,Apartment,840476.43
Old Town,2964,1,2,2,7,2,1,0,5.8,0.87,Apartment,979173.23
Old Town,2963,5,3,1,37,1,1,1,6.73,0.42,Condo,1046647.04
Uptown,1551,3,1,1,37,1,0,1,6.22,0.32,Townhouse,739982.85
Hillview,1906,2,3,2,1,2,0,1,5.31,0.48,Townhouse,958898.54
Uptown,2364,1,2,2,14,0,1,0,9.35,0.41,Townhouse,934882.2
Riverside,3493,3,2,3,16,1,1,1,6.53,0.86,Townhouse,1195505.45
Old Town,2914,4,3,1,16,2,0,1,5.48,0.5,Villa,1049226.25
Old Town,2716,4,2,3,31,0,1,0,7.61,1.11,Apartment,1000359.67
Lakeview,1887,1,3,1,27,0,0,0,5.62,0.87,Villa,796936.35
Riverside,1614,4,1,3,8,0,0,0,8.87,0.82,Condo,836202.28
Hillview,2534,5,1,3,24,1,1,0,5.31,1.43,Condo,1023832.48
Downtown,1495,2,2,3,38,0,1,1,7.32,0.52,Apartment,767984.99
Uptown,1969,1,1,1,17,0,1,1,9.72,0.97,Townhouse,798374.13
Riverside,2037,5,1,3,37,2,1,0,5.79,0.05,Villa,1023573.16
Riverside,2976,3,2,1,25,1,0,1,6.01,1.12,Townhouse,1006300.39
Hillview,1905,4,3,3,36,1,1,1,8.0,0.78,Apartment,985606.84
Old Town,758,2,1,2,36,1,0,1,9.9,0.35,Apartment,622041.07
Uptown,2377,2,3,2,0,2,1,0,6.93,0.05,Apartment,1020989.82
Old Town,1716,2,2,2,32,1,1,1,8.24,1.08,Apartment,769146.51
Old Town,2123,2,1,1,7,1,0,1,5.76,1.01,Apartment,743135.93
Downtown,2052,3,1,3,32,2,1,1,8.21,1.01,Villa,1018769.15
Downtown,1949,1,3,3,32,0,0,1,6.26,0.68,Townhouse,883358.98
Riverside,2535,5,1,3,10,1,1,0,8.07,0.98,Condo,1065329.06
Lakeview,1257,3,2,3,2,2,0,1,5.44,0.88,Townhouse,841497.54
Lakeview,1816,5,3,3,16,1,0,0,7.62,0.4,Apartment,1036786.92
Hillview,2476,3,2,3,12,2,1,1,6.19,0.8,Villa,1138856.63
Hillview,1762,2,1,2,22,2,1,1,8.41,0.8,Villa,940183.36
Riverside,1215,3,1,3,3,1,0,1,8.74,1.24,Apartment,763312.0
Suburban,2468,1,3,1,1,2,1,0,9.24,0.68,Condo,992529.64
Downtown,2718,5,2,3,17,0,1,0,9.96,0.68,Townhouse,1136909.13
Riverside,2075,4,1,2,30,0,1,1,7.3,1.48,Villa,870529.55
Riverside,1022,1,1,2,12,2,1,0,8.35,1.35,Villa,691672.02
Suburban,2488,3,2,2,12,0,0,0,5.09,0.4,Villa,905679.77
Suburban,1187,3,1,1,6,1,1,0,9.53,1.37,Villa,711992.22
Downtown,2270,2,2,2,11,1,1,0,8.08,0.25,Townhouse,983537.02
Hillview,1612,1,1,2,11,1,1,0,7.11,1.29,Condo,696915.7
Lakeview,1462,4,3,1,10,2,1,0,7.17,0.32,Villa,926892.79
Hillview,1857,2,2,3,13,0,1,0,8.79,0.67,Apartment,869949.98
Old Town,1999,3,3,1,11,1,1,1,9.17,1.48,Condo,920858.47
Riverside,1746,2,1,3,27,0,1,1,9.04,0.19,Villa,913392.28
Riverside,2424,4,2,1,13,0,1,1,7.55,1.27,Apartment,910065.73
Downtown,1855,1,1,1,30,0,1,1,6.86,0.77,Townhouse,726101.84
Hillview,2639,2,2,1,24,2,1,0,9.73,0.21,Condo,1060533.02
Old Town,2255,3,3,1,25,0,0,1,8.17,1.43,Villa,914553.87
Downtown,1716,3,1,1,23,2,0,0,7.72,0.85,Villa,786591.15
Riverside,1624,4,3,3,36,1,1,0,7.99,1.33,Villa,966474.44
Suburban,1194,1,2,3,10,1,0,0,8.15,1.31,Condo,738665.63
Suburban,2260,3,3,2,39,2,1,1,8.57,0.07,Condo,1014941.33
Hillview,1905,4,1,1,8,2,1,0,7.77,0.43,Condo,901531.78
Old Town,795,2,3,3,5,0,0,1,9.38,0.54,Apartment,648530.98
Hillview,1805,1,2,2,33,2,0,0,9.3,0.83,Condo,831000.22
Hillview,1604,5,1,2,35,2,0,1,7.21,0.15,Villa,960891.23
Lakeview,2967,4,1,3,3,2,0,1,5.84,0.61,Condo,1199875.44
Uptown,1163,4,3,2,23,0,1,1,7.88,1.23,Condo,806360.92
Hillview,1307,4,3,2,20,1,1,0,8.1,0.3,Townhouse,894367.12
Lakeview,2710,4,1,3,8,1,0,1,7.62,1.07,Condo,1154946.82
Old Town,2846,4,2,2,20,1,0,0,9.45,0.72,Apartment,1077609.39
Lakeview,1690,3,3,3,27,1,0,0,5.47,0.15,Townhouse,921354.34
Uptown,1752,1,2,3,22,1,1,0,6.44,0.31,Apartment,897912.77
Hillview,2439,3,1,3,20,1,1,0,9.33,0.25,Townhouse,1057215.82
Lakeview,820,2,2,1,35,1,0,0,9.7,0.95,Villa,656803.99
Old Town,1076,4,2,1,9,2,1,1,7.13,0.18,Condo,728752.37
Uptown,1946,3,1,2,24,2,0,0,5.96,1.24,Villa,854114.0
Suburban,2952,5,3,2,12,0,1,0,7.1,1.22,Condo,1066036.71
Lakeview,1860,3,1,3,38,1,0,1,7.28,0.17,Villa,988952.27
Hillview,2156,3,3,1,10,2,1,0,7.6,1.34,Apartment,937630.51
Uptown,2724,5,3,3,34,1,1,1,6.37,1.44,Townhouse,1137112.58
Old Town,3259,3,3,3,25,2,0,1,6.56,0.11,Apartment,1189890.37
Lakeview,1783,2,3,3,8,0,1,1,8.28,1.43,Townhouse,893931.86
Downtown,2091,2,1,3,30,1,1,0,8.11,0.46,Villa,923298.49
Downtown,3102,5,1,3,9,2,0,0,8.31,1.01,Condo,1187727.22
Old Town,1263,4,3,2,10,2,0,0,6.89,0.3,Villa,839066.78
Uptown,2665,1,3,2,13,1,0,1,6.68,1.24,Villa,1027305.31
Uptown,1540,3,3,2,27,1,1,0,6.76,1.27,Townhouse,863303.21
Old Town,2156,2,2,3,15,1,0,1,9.76,1.47,Condo,930618.76
Hillview,1967,4,2,1,22,2,0,0,6.98,1.49,Apartment,821605.79
Old Town,1573,1,1,2,22,1,1,1,8.03,0.16,Townhouse,740112.51
Lakeview,1559,4,1,2,7,0,1,0,7.61,1.0,Villa,910184.4
Hillview,2252,4,2,2,9,0,1,1,9.38,0.45,Condo,1078472.35
Riverside,2648,2,1,2,12,1,0,0,6.85,0.23,Townhouse,977936.94
Lakeview,2029,1,1,3,8,2,1,0,7.17,0.27,Condo,910157.92
Downtown,2139,4,1,1,36,1,0,0,9.21,1.41,Villa,899290.12
Lakeview,2414,2,1,3,15,2,0,1,5.8,1.04,Villa,1043512.43
Suburban,1566,5,3,3,16,2,1,1,7.97,0.12,Condo,1005918.51
Riverside,2507,4,3,3,26,1,1,1,7.0,1.48,Apartment,1028609.72
Uptown,2551,5,3,3,31,2,1,1,9.93,1.22,Townhouse,1208714.22
Uptown,3532,3,1,2,27,1,0,1,8.61,0.5,Condo,1164567.13
Lakeview,1893,5,2,1,22,1,1,1,5.05,0.73,Condo,849513.15
Uptown,1848,1,3,2,39,2,0,1,9.2,1.1,Townhouse,942989.7
Hillview,2523,2,2,1,35,1,0,1,8.52,1.03,Villa,1004397.84
Riverside,2551,1,2,1,8,1,0,1,7.8,0.72,Condo,901656.76
Downtown,1806,4,3,3,6,1,1,1,6.18,0.79,Apartment,975684.46
Downtown,1878,3,3,2,15,2,0,0,5.75,0.11,Condo,928382.52
Riverside,2398,2,3,2,33,0,1,1,8.14,0.78,Apartment,996212.09
Downtown,1645,2,2,3,38,0,0,1,7.2,0.54,Townhouse,853714.22
Old Town,1874,4,2,1,28,1,1,1,9.31,0.46,Villa,933389.24
Uptown,2149,1,3,3,27,0,1,1,6.31,0.44,Condo,931969.53
Lakeview,2648,3,3,2,9,1,1,1,8.19,0.99,Townhouse,1117179.4
Old Town,1767,4,2,2,23,1,0,1,6.24,0.67,Condo,853027.76
Lakeview,1087,2,2,2,7,1,0,1,8.18,0.67,Condo,791366.8
Lakeview,1046,2,2,2,21,0,1,1,5.24,0.28,Condo,669941.45
Lakeview,1407,2,1,2,7,0,0,1,6.96,1.44,Apartment,721806.66
Old Town,1378,3,2,2,3,1,1,0,5.86,0.37,Villa,811774.65
Riverside,2015,2,2,1,38,2,0,1,8.03,0.64,Villa,833704.23
Lakeview,1446,2,3,1,35,2,1,0,6.58,0.33,Apartment,761620.33
Suburban,1713,3,2,2,27,1,0,1,8.86,1.07,Apartment,829409.12
Riverside,1674,1,1,1,25,0,0,0,5.57,0.68,Apartment,553408.47
Downtown,1858,3,3,2,9,0,0,0,7.78,0.65,Condo,841086.72
Uptown,2827,1,2,3,22,1,1,1,7.97,1.32,Villa,1094298.46
Hillview,2464,1,1,1,29,0,1,1,5.11,1.15,Condo,795208.61
Downtown,2109,2,3,1,21,2,0,1,5.18,0.8,Condo,872464.59
Suburban,1846,2,2,1,11,1,0,0,6.54,0.73,Apartment,777239.99
Old Town,1862,1,2,3,15,2,0,1,8.05,1.44,Condo,850616.6
Old Town,2280,5,3,3,33,0,1,0,9.81,1.44,Apartment,993083.68
Uptown,2421,2,3,1,10,1,0,1,5.45,1.07,Villa,920296.01
Suburban,1601,5,2,2,38,2,0,0,8.52,1.15,Condo,835364.31
Lakeview,2120,5,2,3,30,0,1,1,8.46,1.35,Villa,1086488.23
Old Town,983,5,3,3,35,2,1,1,8.35,1.45,Condo,837758.06
Uptown,2216,5,1,2,20,1,1,0,7.58,0.17,Townhouse,1013295.48
Suburban,2519,1,3,1,8,1,1,0,9.83,1.5,Apartment,928097.87
Downtown,1946,2,2,3,1,1,1,1,7.51,1.07,Condo,968389.59
Downtown,3099,4,3,3,21,2,1,1,9.19,0.91,Apartment,1266901.8
Riverside,1615,3,2,2,15,2,1,1,6.31,0.65,Townhouse,896082.97
Lakeview,2220,1,3,1,4,0,1,0,9.03,0.54,Villa,956633.83
Downtown,2080,3,1,3,37,1,1,1,9.98,1.22,Apartment,945967.72
Riverside,2045,5,3,1,38,2,0,0,9.55,1.0,Townhouse,956479.17
Downtown,2037,5,1,3,14,0,1,1,6.52,0.34,Villa,1032477.63
Lakeview,2159,2,2,3,26,1,1,1,9.23,0.93,Apartment,982457.89
Hillview,2566,2,1,2,16,2,1,1,5.48,0.25,Townhouse,1000235.86
Uptown,2858,2,3,2,19,0,1,0,8.39,0.77,Apartment,1002148.09
Hillview,2099,2,3,1,24,1,0,0,6.71,0.9,Townhouse,886079.4
Hillview,2548,2,1,3,16,1,0,1,8.29,0.97,Apartment,1047609.76
Uptown,1714,2,3,1,32,0,1,1,7.06,0.26,Condo,821687.7
Downtown,2521,3,1,1,7,0,1,0,5.05,0.19,Condo,890095.69
Lakeview,1681,1,2,3,26,1,1,1,6.16,0.43,Condo,882365.01
Uptown,2700,2,1,3,39,0,1,1,5.21,0.93,Condo,953692.35
Uptown,3316,2,1,2,34,2,1,0,7.14,1.4,Apartment,1070239.89
Riverside,2033,1,1,2,1,1,0,0,9.2,1.18,Townhouse,865512.84
Uptown,894,5,2,2,4,2,0,0,8.69,1.13,Apartment,779327.95
Riverside,1799,4,2,1,25,1,1,0,8.94,0.53,Apartment,841415.16
Downtown,2778,5,3,2,36,0,0,0,9.04,0.21,Villa,1162996.08
Lakeview,2404,3,1,3,33,1,0,0,6.86,1.34,Villa,990327.37
Suburban,2237,1,3,2,36,2,1,0,7.53,0.78,Villa,904702.26
Downtown,2655,5,1,3,5,1,1,0,7.54,0.2,Apartment,1083824.78
Hillview,2366,3,1,3,20,0,0,1,5.57,0.83,Villa,988829.4
Suburban,2770,4,1,3,29,0,0,0,7.99,1.03,Apartment,1010044.4
Lakeview,2606,2,1,3,24,1,0,0,8.6,0.51,Apartment,1033113.55
Old Town,2937,3,2,3,31,2,0,1,8.05,0.06,Villa,1247180.55
Downtown,2297,3,3,3,8,1,1,0,8.73,0.95,Apartment,1029465.94
Lakeview,2598,2,3,3,18,0,0,1,5.59,0.11,Condo,1067563.55
Old Town,1931,3,3,3,17,0,1,1,8.81,0.68,Condo,975460.07
Suburban,1769,4,2,3,37,1,0,1,6.04,1.25,Condo,862461.93
Hillview,3039,1,1,3,8,1,1,0,9.38,1.5,Apartment,1097396.67
Old Town,2219,1,2,3,13,0,0,1,6.22,0.59,Villa,931376.35
Downtown,2543,5,3,2,0,2,1,1,7.46,0.08,Condo,1175124.86
Uptown,2168,3,1,3,6,0,1,1,7.44,0.76,Townhouse,1017012.04
Riverside,1777,5,1,3,39,0,0,0,6.34,0.45,Villa,914938.98
Hillview,2106,4,3,2,33,1,0,0,6.81,1.34,Condo,906774.31
Lakeview,2890,4,1,1,10,2,0,0,5.93,1.08,Villa,1071639.2
Hillview,2405,5,3,3,28,1,0,0,7.85,0.64,Condo,1072017.58
Hillview,1159,4,3,2,23,2,1,1,9.57,1.15,Apartment,921464.72
Suburban,1982,2,2,2,36,0,1,0,6.58,0.54,Townhouse,802165.79
Suburban,3080,3,2,3,12,1,0,1,7.54,0.81,Apartment,1150119.32
Riverside,1982,2,1,1,39,0,0,1,9.31,1.39,Condo,735826.06
Uptown,1110,2,2,2,14,0,1,1,7.26,0.34,Villa,730193.31
Old Town,3141,4,3,1,28,1,1,1,9.16,0.5,Apartment,1178914.19
Riverside,2475,1,3,1,15,0,1,1,7.23,1.33,Condo,869177.21
Uptown,2061,4,2,3,26,0,1,0,7.2,0.72,Condo,924974.78
Uptown,1896,3,3,2,13,0,1,0,5.79,0.51,Condo,902724.06
Lakeview,2695,2,3,1,33,2,1,0,5.62,0.1,Villa,1107796.43
Riverside,1802,1,1,2,25,1,1,1,8.06,0.66,Apartment,776099.05
Hillview,2732,4,2,1,11,1,0,0,9.14,0.78,Apartment,1046678.94
Hillview,2398,5,2,3,38,2,1,0,5.68,0.64,Apartment,1059991.16
Old Town,2235,4,2,1,28,1,0,0,9.55,0.45,Apartment,869925.73
Riverside,2180,3,3,2,17,2,1,0,6.79,0.59,Apartment,943933.31
Downtown,2004,4,3,2,5,1,1,0,7.13,0.98,Townhouse,1017668.15
Suburban,2675,3,2,1,38,0,0,0,9.47,1.34,Condo,890394.84
Old Town,1624,2,1,3,30,0,0,0,9.48,0.99,Townhouse,750381.08
Lakeview,1208,2,3,2,26,0,0,1,7.62,0.99,Apartment,735738.95
Lakeview,2438,2,3,2,33,0,1,1,6.38,1.23,Townhouse,988460.59
Suburban,2447,5,3,2,24,0,0,0,5.86,0.29,Apartment,914862.58
Hillview,2364,4,2,3,9,1,0,0,6.36,0.49,Villa,1098686.25
Downtown,2324,1,1,1,9,2,1,0,8.9,0.12,Condo,977275.47
Hillview,1924,5,2,3,3,0,1,0,6.62,0.56,Apartment,1027496.57
Riverside,2533,1,1,2,2,0,0,0,8.47,1.5,Condo,878270.07
Old Town,2075,3,2,1,29,2,0,1,5.98,0.53,Villa,902011.07
Uptown,1832,1,3,2,34,0,1,1,7.39,1.3,Townhouse,855430.66
Riverside,1928,2,1,3,6,2,1,1,6.76,0.17,Villa,974093.7
Uptown,3211,4,3,1,22,1,1,0,7.52,0.72,Apartment,1148299.85
Old Town,1146,5,1,2,4,2,0,1,7.85,0.56,Villa,880794.58
Lakeview,2375,5,1,2,16,1,0,1,9.95,0.34,Villa,1107105.94
Hillview,1176,5,3,3,31,1,0,0,9.5,0.59,Townhouse,953296.27
Riverside,2040,2,1,2,32,0,1,0,8.48,0.99,Apartment,798836.89
Uptown,1862,1,3,3,37,1,0,1,5.77,0.76,Condo,863339.11
Riverside,953,5,3,3,12,2,0,1,9.6,1.27,Townhouse,908705.83
Old Town,2314,5,1,3,37,2,0,1,9.46,1.36,Condo,1012711.75
Downtown,1891,2,1,2,31,0,0,0,9.43,0.75,Condo,811669.3
Downtown,945,1,1,3,13,0,1,1,7.4,1.47,Townhouse,683665.38
Hillview,2562,4,1,1,13,0,0,1,5.85,0.15,Apartment,946472.87
Suburban,2889,1,3,3,4,2,1,0,8.77,0.45,Townhouse,1151173.09
Lakeview,2920,1,3,3,36,0,0,0,6.94,0.65,Condo,1032201.96
Uptown,2297,5,3,1,8,2,0,0,6.72,0.89,Apartment,985848.94
Hillview,2125,3,3,2,10,1,1,0,6.95,0.84,Villa,1021429.15
Uptown,2830,1,3,3,16,0,1,1,7.8,0.87,Apartment,1054748.23
Hillview,3025,4,3,1,5,2,1,0,6.67,1.35,Condo,1138546.93
Downtown,2723,2,3,3,32,2,0,0,8.45,0.45,Condo,1123491.38
Riverside,1582,3,2,3,27,1,1,0,8.24,1.23,Apartment,861548.19
Old Town,2211,5,3,3,6,2,0,1,7.54,0.86,Condo,1055209.52
Lakeview,2342,2,1,1,6,2,1,0,5.27,0.76,Villa,907583.31
Suburban,1105,4,2,3,0,1,0,1,9.68,0.48,Condo,892701.43
Old Town,2358,5,3,3,37,0,1,0,7.06,0.49,Apartment,997888.85
Riverside,3350,3,1,1,17,2,0,1,7.25,0.61,Apartment,1071137.07
Downtown,2452,5,1,3,26,2,1,1,7.28,1.16,Townhouse,1098826.51
Downtown,2910,3,1,2,5,2,0,1,6.83,0.74,Condo,1084336.23
Riverside,2201,3,1,3,9,2,1,1,8.37,0.27,Apartment,990585.91
Downtown,2060,5,2,1,21,1,1,0,5.07,1.15,Apartment,871616.13
Downtown,2310,4,3,3,8,1,0,0,9.37,1.01,Villa,1124939.83
Riverside,1651,5,1,2,24,2,0,1,5.51,1.43,Apartment,836880.45
Suburban,1570,4,3,1,36,2,1,0,10.0,0.82,Condo,820261.28
Old Town,2796,4,3,2,12,0,1,0,8.14,1.0,Townhouse,1063614.97
Downtown,2855,2,3,3,24,1,1,0,5.33,0.75,Townhouse,1068059.47
Riverside,1555,2,3,3,36,1,1,0,7.81,1.04,Villa,827919.13
Old Town,2632,5,1,1,35,2,0,0,6.66,0.68,Townhouse,957215.2
Lakeview,2052,4,2,3,0,2,0,1,9.77,0.25,Townhouse,1103661.57
Hillview,2287,2,3,2,4,0,0,0,8.78,1.48,Townhouse,959968.33
Lakeview,2353,2,3,1,39,2,0,0,7.54,1.09,Villa,1003546.89
Riverside,2647,4,2,2,37,1,0,0,7.15,0.93,Townhouse,981609.1
Old Town,2145,1,3,3,12,0,1,1,9.98,0.75,Townhouse,951706.65
Riverside,2876,1,3,1,20,1,0,0,8.34,1.08,Townhouse,1000288.91
Lakeview,2270,4,1,1,22,0,0,1,7.57,0.23,Condo,913162.05
Lakeview,2443,2,3,1,26,2,1,1,6.99,0.52,Villa,1039413.51
Lakeview,1642,4,1,2,30,2,1,1,6.62,0.23,Condo,924634.81
Uptown,3287,3,2,1,14,2,0,1,8.53,0.23,Apartment,1137078.03
Old Town,2358,5,1,3,35,1,1,1,7.94,0.08,Villa,1057549.82
Old Town,2492,3,3,1,2,1,1,1,9.24,1.15,Villa,1053621.18
Lakeview,1215,5,1,1,1,1,1,1,7.77,0.38,Condo,786901.32
Suburban,1648,5,2,1,38,2,1,0,7.91,1.26,Apartment,837223.68
Riverside,2781,2,3,3,7,0,1,1,7.39,1.36,Apartment,1042158.81
Lakeview,2258,5,3,3,39,2,0,1,8.81,0.29,Villa,1231103.18
Riverside,1047,4,1,1,11,1,1,1,7.07,1.08,Condo,684270.88
Suburban,2671,1,3,2,14,1,1,0,9.26,0.72,Villa,1053572.8
